fact,year,date,source
42 BC: The Roman Senate posthumously deifies Julius Caesar.,42 BC,1/1,wikipedia/muffinlabs
193: The Senate chooses Pertinax against his will to succeed Commodus as Roman emperor.,193,1/1,wikipedia/muffinlabs
1604: The Masque of Indian and China Knights is performed by courtiers of James VI and I at Hampton Court.,1604,1/1,wikipedia/muffinlabs
"1776: American Revolutionary War: Burning of Norfolk - Norfolk, Virginia, is burned to the ground by combined Royal Navy and Continental Army action.",1776,1/1,wikipedia/muffinlabs
"1776: General George Washington hoists the first United States flag, the Continental Union Flag, at Prospect Hill.",1776,1/1,wikipedia/muffinlabs
"1781: American Revolutionary War: One thousand five hundred soldiers of the 6th Pennsylvania Regiment under General Anthony Wayne's command rebel against the Continental Army's winter camp in Morristown, New Jersey in the Pennsylvania Line Mutiny of 1781.",1781,1/1,wikipedia/muffinlabs
1804: French rule ends in Haiti. Haiti becomes the first black-majority republic and second independent country in North America after the United States.,1804,1/1,wikipedia/muffinlabs
1806: The French Republican Calendar is abolished.,1806,1/1,wikipedia/muffinlabs
1808: The United States bans the importation of slaves.,1808,1/1,wikipedia/muffinlabs
1822: The Greek Constitution of 1822 is adopted by the First National Assembly at Epidaurus.,1822,1/1,wikipedia/muffinlabs
"1847: The world's first ""Mercy"" Hospital is founded in Pittsburgh, United States, by a group of Sisters of Mercy from Ireland; the name will go on to grace over 30 major hospitals throughout the world.",1847,1/1,wikipedia/muffinlabs
1863: American Civil War: The Emancipation Proclamation takes effect in Confederate territory.,1863,1/1,wikipedia/muffinlabs
"1885: Twenty-five nations adopt Sandford Fleming's proposal for standard time (and also, time zones).",1885,1/1,wikipedia/muffinlabs
1892: Ellis Island begins processing immigrants into the United States.,1892,1/1,wikipedia/muffinlabs
"1898: New York, New York annexes land from surrounding counties, creating the City of Greater New York. The four initial boroughs, Manhattan, Brooklyn, Queens, and The Bronx, are joined on January 25 by Staten Island to create the modern city of five boroughs.",1898,1/1,wikipedia/muffinlabs
"1902: The first American college football bowl game, the Rose Bowl between Michigan and Stanford, is held in Pasadena, California.",1902,1/1,wikipedia/muffinlabs
1932: The United States Post Office Department issues a set of 12 stamps commemorating the 200th anniversary of George Washington's birth.,1932,1/1,wikipedia/muffinlabs
1934: Alcatraz Island in San Francisco Bay becomes a United States federal prison.,1934,1/1,wikipedia/muffinlabs
1942: The Declaration by United Nations is signed by twenty-six nations.,1942,1/1,wikipedia/muffinlabs
"1947: Cold War: The American and British occupation zones in Allied-occupied Germany, after World War II, merge to form the Bizone, which later (with the French zone) became part of West Germany.",1947,1/1,wikipedia/muffinlabs
1956: Sudan achieves independence from Egypt and the United Kingdom.,1956,1/1,wikipedia/muffinlabs
1960: Cameroon achieves independence from France and the United Kingdom.,1960,1/1,wikipedia/muffinlabs
1962: Western Samoa achieves independence from New Zealand; its name is changed to the Independent State of Western Samoa.,1962,1/1,wikipedia/muffinlabs
"1965: The People's Democratic Party of Afghanistan is founded in Kabul, Afghanistan.",1965,1/1,wikipedia/muffinlabs
1971: Cigarette advertisements are banned on American television.,1971,1/1,wikipedia/muffinlabs
"1979: the Joint Communiqué on the Establishment of Diplomatic Relations and Taiwan Relations Act enter into force. Through the Communiqué, the United States establishes normal diplomatic relations with China. Through the Act, the United States guarantees military support for Taiwan.",1979,1/1,wikipedia/muffinlabs
1982: Peruvian Javier Pérez de Cuéllar becomes the first Latin American to hold the title of Secretary-General of the United Nations.,1982,1/1,wikipedia/muffinlabs
1984: The original American Telephone & Telegraph Company is divested of its 22 Bell System companies as a result of the settlement of the 1974 United States Department of Justice antitrust suit against AT&T.,1984,1/1,wikipedia/muffinlabs
"1988: The Evangelical Lutheran Church in America comes into existence, creating the largest Lutheran denomination in the United States.",1988,1/1,wikipedia/muffinlabs
1990: David Dinkins is sworn in as New York City's first black mayor.,1990,1/1,wikipedia/muffinlabs
1994: The North American Free Trade Agreement (NAFTA) comes into effect.,1994,1/1,wikipedia/muffinlabs
"2004: In a vote of confidence, General Pervez Musharraf wins 658 out of 1,170 votes in the Electoral College of Pakistan, and according to Article 41(8) of the Constitution of Pakistan, is ""deemed to be elected"" to the office of President until October 2007.",2004,1/1,wikipedia/muffinlabs
"2025: Fourteen people are killed and 57 others injured during a vehicle-ramming and shooting attack in New Orleans, Louisiana.",2025,1/1,wikipedia/muffinlabs
1776: Empress Maria Theresa of Austria amends the Constitutio Criminalis Theresiana to include the abolition of torture throughout the Habsburg-ruled countries of Austria and Bohemia.,1776,1/2,wikipedia/muffinlabs
"1777: American Revolutionary War: American forces under the command of General George Washington repulse a British attack led by General Charles Cornwallis at the Battle of the Assunpink Creek near Trenton, New Jersey.",1777,1/2,wikipedia/muffinlabs
1788: Georgia becomes the fourth state to ratify the United States Constitution.,1788,1/2,wikipedia/muffinlabs
"1791: Northwest Indian War: The Big Bottom massacre is committed by Lenape and Wyandot warriors in the Ohio Country, North America.",1791,1/2,wikipedia/muffinlabs
1818: The British Institution of Civil Engineers is founded by a group of six engineers; Thomas Telford would later become its first president.,1818,1/2,wikipedia/muffinlabs
1863: American Civil War: The three-day Battle of Stones River ends in a Union victory when the Confederate Army of Tennessee under General Braxton Bragg are repulsed for the final time by the Army of the Cumberland under General William S. Rosecrans.,1863,1/2,wikipedia/muffinlabs
1900: American statesman and diplomat John Hay announces the Open Door Policy to promote trade with China.,1900,1/2,wikipedia/muffinlabs
1900: Chicago Canal opens.,1900,1/2,wikipedia/muffinlabs
1942: The Federal Bureau of Investigation (FBI) obtains the conviction of 33 members of a German spy ring headed by Fritz Joubert Duquesne in the largest espionage case in United States history; Also known as the Duquesne Spy Ring.,1942,1/2,wikipedia/muffinlabs
1949: Luis Muñoz Marín is inaugurated as the first democratically elected Governor of Puerto Rico.,1949,1/2,wikipedia/muffinlabs
"1955: Following the assassination of the Panamanian president José Antonio Remón Cantera, his deputy, José Ramón Guizado, takes power, but is quickly deposed after his involvement in Cantera's death is discovered.",1955,1/2,wikipedia/muffinlabs
"1963: Vietnam War: The Viet Cong wins its first major victory, at the Battle of Ap Bac.",1963,1/2,wikipedia/muffinlabs
"1967: Ronald Reagan, past movie actor and future President of the United States, is sworn in as Governor of California.",1967,1/2,wikipedia/muffinlabs
"1978: On the orders of the President of Pakistan, Muhammad Zia-ul-Haq, paramilitary forces opened fire on peaceful protesting workers in Multan, Pakistan; it is known as 1978 massacre at Multan Colony Textile Mills.",1978,1/2,wikipedia/muffinlabs
1991: Sharon Pratt Dixon becomes the first African American woman mayor of a major city and first woman Mayor of the District of Columbia.,1991,1/2,wikipedia/muffinlabs
1993: Sri Lankan Civil War: The Sri Lanka Navy kill 35-100 civilians on the Jaffna Lagoon.,1993,1/2,wikipedia/muffinlabs
"1653: By the Coonan Cross Oath, the Eastern Church in India cuts itself off from colonial Portuguese tutelage.",1653,1/3,wikipedia/muffinlabs
"1777: American Revolutionary War: American forces under General George Washington defeat British forces at the Battle of Princeton, helping boost patriot morale.",1777,1/3,wikipedia/muffinlabs
1848: Joseph Jenkins Roberts is sworn in as the first president of Liberia.,1848,1/3,wikipedia/muffinlabs
1861: American Civil War: Delaware votes not to secede from the United States.,1861,1/3,wikipedia/muffinlabs
"1870: Construction work begins on the Brooklyn Bridge in New York, United States.",1870,1/3,wikipedia/muffinlabs
